architecture,n_seeds,mcc_mean,mcc_ci95,precision_mean,precision_ci95,recall_mean,recall_ci95,auc_mean,auc_ci95,accuracy_mean,accuracy_ci95
attention_unet,5,0.8047,0.0005,0.8636,0.0048,0.8923,0.0051,0.9375,0.0026,0.9083,0.0005
r2unet,5,0.7641,0.0119,0.8369,0.0498,0.8708,0.0548,0.9593,0.0015,0.8869,0.0093
resunet,5,0.8063,0.0008,0.8631,0.0052,0.8950,0.0067,0.9416,0.0025,0.9090,0.0004
unet,5,0.8044,0.0012,0.8652,0.0032,0.8898,0.0043,0.9415,0.0041,0.9083,0.0005
unet3plus,5,0.8060,0.0009,0.8623,0.0065,0.8955,0.0072,0.9410,0.0022,0.9088,0.0007
unetpp,5,0.8046,0.0012,0.8603,0.0050,0.8960,0.0050,0.9376,0.0031,0.9080,0.0008
unetpp_DS,5,0.8058,0.0007,0.8699,0.0066,0.8863,0.0077,0.9305,0.0038,0.9092,0.0005
