seed,best_epoch,best_val_loss,test_loss,test_dice,test_iou,test_mcc,test_precision,test_recall,test_auc,test_accuracy
0,99,0.13535588060816128,0.12786562678714594,0.8772511703342721,0.7813423155341628,0.8061747015341421,0.8813130367653986,0.8732265734458793,0.9257462193939481,0.9099560419718424
1,88,0.13661388506491978,0.12821676954627037,0.8778702685616945,0.7823251126556376,0.8048729429750497,0.8621199674876923,0.8942067720806962,0.9258381053296636,0.9083223978678385
2,89,0.13601543232798577,0.12799162703255812,0.8786586628590999,0.7835782323868009,0.8064962347896935,0.8666917540332529,0.8909606664412068,0.9327537450573484,0.9093262990315755
3,76,0.13499973043799401,0.12711986949046453,0.8787758232020588,0.7837646042486683,0.8066281945706721,0.866250548769725,0.8916686221866394,0.9345484088079676,0.9093539555867513
4,61,0.13707613646984101,0.12873826089004675,0.8772019948064651,0.7812642975396826,0.8050510244259861,0.8731739416088717,0.8812673839974049,0.9334028564705656,0.9090854008992513
MEAN,,,0.12798643074929714,0.877951583952718,0.7824549124729906,0.8058446196591088,0.8699098497329881,0.8862660036303653,0.9304578670118987,0.9092088190714518
CI95,,,0.0005155682177657714,0.0006557080677992203,0.001041701189832465,0.0007230108903102399,0.0065757322195544995,0.007707771802265291,0.003775693971365808,0.0005174887763503553
