seed,best_epoch,best_val_loss,test_loss,test_dice,test_iou,test_mcc,test_precision,test_recall,test_auc,test_accuracy
0,2,0.178919634471337,0.16552942593892414,0.8445674452830624,0.7309534787082305,0.7488921265288901,0.7727031530681469,0.9311697230293535,0.9573088563326428,0.8737094879150391
1,1,0.17844702824950218,0.16197538835306963,0.8500243390120803,0.7391672431413575,0.7578373240177105,0.7820960494214817,0.9308746695746399,0.9618078634270121,0.8789639155069987
2,5,0.5012781540552775,0.14589582656820616,0.8610847559292274,0.7560569238247378,0.7822016865791743,0.8744451291626877,0.8481264968355086,0.9588453662778826,0.8991678873697917
3,3,0.15711091880997022,0.14978480947514375,0.8575470898101787,0.7506192002852149,0.7739054046937734,0.8540350407629227,0.8610881433373134,0.9597294666796615,0.8945867538452148
4,1,0.17838948965072632,0.17460346221923828,0.8377340254336773,0.7207765208357643,0.7575043743723335,0.901001321338212,0.7827688782447253,0.958680435321232,0.8882650375366211
MEAN,,,0.1595577825109164,0.8501915310936452,0.739514673359061,0.7640681832383763,0.8368561387506903,0.8708055822043083,0.9592743976076861,0.886938616434733
CI95,,,0.010278680497787282,0.008311120326749622,0.012561518209024812,0.011904598234138844,0.04984901619410886,0.05475974041467375,0.0014552751534250732,0.009280699993296681
