arch,best_epoch,best_val_loss,loss,dice,iou,cldice,mcc,precision,recall,auc,accuracy
unet,90,0.06604054135580857,0.15315909410805204,0.8901029779691494,0.8019689757708124,0.6415008902549744,0.8674196382832102,0.8971104772421774,0.8832041040024062,0.9442968646728863,0.9623399227673043
unetpp,85,0.07775208498868677,0.1473063751621995,0.8967340347463166,0.8127995089018532,0.6689596772193909,0.8757542436395754,0.9094152892176239,0.8844015815281181,0.96493165995627,0.964948311305244
unetpp_ds,90,0.053396303206682205,0.11612062156200409,0.9142571732796093,0.842056839593619,0.9268969324937005,0.8963914125780729,0.9151642906552261,0.9133518524057137,0.9719972618505973,0.9704289385377964
unet3plus,80,0.05152470991015434,0.1353664994239807,0.8982889331061649,0.8153580009310492,0.9090819847893645,0.8767892936438119,0.884287727736982,0.9127406424111176,0.9612710191842695,0.9642748052519093
attention_unet,88,0.0577472448348999,0.138010635972023,0.909591696177455,0.8341753203719997,0.9075761454976538,0.8912097650320978,0.9225341331645305,0.8970073797045779,0.9685047798196103,0.9692663337368412
resunet,89,0.05324992910027504,0.13910314440727234,0.9115267373316119,0.8374360387107836,0.9259907872027983,0.8935823534050543,0.9271753794876204,0.89639755585056,0.9557296684254548,0.9698992896684785
r2unet,45,0.038098834455013275,0.10961034148931503,0.9245863399468865,0.8597494845855193,0.9400278818964134,0.9087797005134952,0.9165889181793705,0.9327245483169141,0.9685230472880964,0.9737934451831338
